1595256641743738376,1595256641744160123,421747
1595256653223515200,1595256653223570162,54962
1595256653223603405,1595256653223627456,24051
1595256653275204270,1595256653275253861,49591
1595256653275305344,1595256653275329047,23703
1595256653356184586,1595256653356232226,47640
1595256653409038328,1595256653409093597,55269
1595256653409106047,1595256653409127128,21081
1595256653467292602,1595256653467340485,47883
1595256653564376805,1595256653564482886,106081
1595256653564496638,1595256653564523733,27095
1595256653564531405,1595256653564549408,18003
1595256653564580731,1595256653564603394,22663
1595256653564610001,1595256653564628506,18505
1595256653564636594,1595256653564654943,18349
1595256653564662123,1595256653564700386,38263
1595256653564707709,1595256653564728028,20319
1595256653564736128,1595256653564764827,28699
1595256653564771878,1595256653564790347,18469
1595256653564796386,1595256653564814019,17633
1595256653648720130,1595256653648731237,11107
1595256653648810036,1595256653648836654,26618
1595256653649151100,1595256653649175015,23915
1595256653649260840,1595256653649270376,9536
1595256653650296355,1595256653650333461,37106
1595256653927954089,1595256653928002321,48232
1595256653974247337,1595256653974302329,54992
1595256653974445516,1595256653974478588,33072
1595256653976692276,1595256653976740042,47766
1595256653976781482,1595256653976803854,22372
1595256653978540344,1595256653978593955,53611
1595256653981157438,1595256653981214499,57061
1595256653981249389,1595256653981275034,25645
1595256653985199308,1595256653985248414,49106
1595256653985374497,1595256653985410445,35948
1595256653989983653,1595256653990031630,47977
1595256653990078205,1595256653990103504,25299
1595256653994607986,1595256653994667870,59884
1595256653994888465,1595256653994944320,55855
1595256653999728737,1595256653999778023,49286
1595256654002226888,1595256654002281458,54570
1595256654002342685,1595256654002371663,28978
1595256654006527994,1595256654006670855,142861
1595256654006686258,1595256654006716075,29817
1595256654011369116,1595256654011445983,76867
1595256654011482895,1595256654011543270,60375
1595256654015692042,1595256654015745668,53626
1595256654015801390,1595256654015828108,26718
1595256654020383868,1595256654020497996,114128
1595256654038083116,1595256654038137641,54525
1595256654038235334,1595256654038336866,101532
1595256654038348782,1595256654038374151,25369
1595256654039005050,1595256654039058779,53729
1595256654039129802,1595256654039164107,34305
1595256654042680013,1595256654042818016,138003
1595256654042832026,1595256654042859847,27821
1595256654093195060,1595256654093307293,112233
1595256654093321991,1595256654093350263,28272
1595256654094595260,1595256654094670663,75403
1595256654094702926,1595256654094729099,26173
1595256654097039360,1595256654097093232,53872
1595256654097107654,1595256654097129019,21365
1595256654098228454,1595256654098275913,47459
1595256654098288132,1595256654098308171,20039
1595256654098935252,1595256654098989269,54017
1595256654099134382,1595256654099190907,56525
1595256654104883353,1595256654104939285,55932
1595256654104999186,1595256654105027975,28789
1595256654105445210,1595256654105499850,54640
1595256654105729421,1595256654105795681,66260
1595256654120043861,1595256654120098147,54286
1595256654120158515,1595256654120186414,27899
1595256654120644611,1595256654120697491,52880
1595256654120857574,1595256654120911328,53754
1595256654121245108,1595256654121301572,56464
1595256654121314507,1595256654121336142,21635
1595256654121379275,1595256654121431710,52435
1595256654121440428,1595256654121460390,19962
1595256654121468593,1595256654121484750,16157
1595256654121679981,1595256654121724927,44946
1595256654122413625,1595256654122467366,53741
1595256654122600200,1595256654122653923,53723
1595256654125118588,1595256654125240954,122366
1595256654125255223,1595256654125279826,24603
1595256654127571748,1595256654127628409,56661
1595256654127658442,1595256654127682681,24239
1595256654130035934,1595256654130090012,54078
1595256654130142920,1595256654130192003,49083
1595256654142601862,1595256654142716417,114555
1595256654142730660,1595256654142756759,26099
1595256654142976857,1595256654143033732,56875
1595256654143047117,1595256654143068849,21732
1595256654144593648,1595256654144648224,54576
1595256654145014259,1595256654145071717,57458
1595256654147940635,1595256654147995915,55280
1595256654148762040,1595256654148816409,54369
1595256654153603755,1595256654153662266,58511
1595256654153692471,1595256654153716800,24329
1595256654156009621,1595256654156064370,54749
1595256654156120196,1595256654156147383,27187
1595256654182670465,1595256654182724965,54500
1595256654182737445,1595256654182758871,21426
1595256654182918107,1595256654182974052,55945
1595256654182987227,1595256654183009095,21868
1595256654183017556,1595256654183064695,47139
1595256654183210167,1595256654183301167,91000
1595256654183364143,1595256654183391717,27574
1595256654183694543,1595256654183749151,54608
1595256654183898617,1595256654183951148,52531
1595256654184497102,1595256654184571222,74120
1595256654184585845,1595256654184614745,28900
1595256654184774990,1595256654184900646,125656
1595256654184917023,1595256654184945931,28908
1595256654185221213,1595256654185282626,61413
1595256654185295779,1595256654185322703,26924
1595256654185646534,1595256654185736513,89979
1595256654185747310,1595256654185777602,30292
1595256654185784318,1595256654185809029,24711
1595256654185816384,1595256654185837148,20764
1595256654185842948,1595256654185863674,20726
1595256654185870573,1595256654185977932,107359
1595256654186118323,1595256654186186591,68268
1595256654186292670,1595256654186322795,30125
1595256654186832651,1595256654186859925,27274
1595256654187025833,1595256654187050776,24943
1595256654187252800,1595256654187316165,63365
1595256654187330845,1595256654187358596,27751
1595256654187366312,1595256654187386345,20033
1595256654187392817,1595256654187417362,24545
1595256654188793856,1595256654188848290,54434
1595256654189023954,1595256654189078260,54306
1595256654196360330,1595256654196408377,48047
1595256654196455675,1595256654196528528,72853
1595256654196661348,1595256654196720744,59396
1595256654196900517,1595256654196955305,54788
1595256654199005508,1595256654199130677,125169
1595256654199145199,1595256654199172100,26901
1595256654199300578,1595256654199333508,32930
1595256654199682994,1595256654199736447,53453
1595256654202694225,1595256654202749725,55500
1595256654202762452,1595256654202783361,20909
1595256654207456033,1595256654207511103,55070
1595256654207525863,1595256654207546613,20750
1595256654209881072,1595256654209936050,54978
1595256654209960353,1595256654209983544,23191
1595256654210175577,1595256654210230883,55306
1595256654210243739,1595256654210311517,67778
1595256654210321595,1595256654210343273,21678
1595256654210428942,1595256654210454317,25375
1595256654211199843,1595256654211275494,75651
1595256654213353251,1595256654213407425,54174
1595256654213572567,1595256654213626083,53516
1595256654213639410,1595256654213690030,50620
1595256654213697792,1595256654213740559,42767
1595256654213749539,1595256654213771248,21709
1595256654213777562,1595256654213797917,20355
1595256654213805625,1595256654213824764,19139
1595256654228596354,1595256654228650776,54422
1595256654228799387,1595256654228932273,132886
1595256654228947591,1595256654228975739,28148
1595256654228983328,1595256654229003893,20565
1595256654229799937,1595256654229854915,54978
1595256654229984101,1595256654230038812,54711
1595256654230051601,1595256654230163761,112160
1595256654230174126,1595256654230200851,26725
1595256654230562704,1595256654230625322,62618
1595256654230640042,1595256654230669051,29009
1595256654231502674,1595256654231556528,53854
1595256654231618106,1595256654231644718,26612
1595256654232443839,1595256654232563562,119723
1595256654232578185,1595256654232605560,27375
1595256654237938403,1595256654237991719,53316
1595256654238083395,1595256654238120148,36753
1595256654244698817,1595256654244746976,48159
1595256654244791661,1595256654244843112,51451
1595256654245244223,1595256654245297893,53670
1595256654245398459,1595256654245493396,94937
1595256654245506528,1595256654245531276,24748
1595256654245616901,1595256654245665830,48929
1595256654246641215,1595256654246694997,53782
1595256654246795674,1595256654246840404,44730
1595256654246968614,1595256654247000328,31714
1595256654247130563,1595256654247231073,100510
1595256654247243073,1595256654247267461,24388
1595256654247543087,1595256654247597626,54539
1595256654247681415,1595256654247770335,88920
1595256654247784254,1595256654247817036,32782
1595256654249041678,1595256654249096715,55037
1595256654249162370,1595256654249190518,28148
1595256654249383768,1595256654249418372,34604
1595256654249427456,1595256654249447396,19940
1595256654249512913,1595256654249544070,31157
